Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
SM 18:1/16:0,SM,TQC_3,703.5,1,184.1,1,Ion [184.100549/184.100549],5.51,13652143,130502,1
SM 18:1/16:0,SM,TQC_4,703.5,1,184.1,1,Ion [184.100549/184.100549],5.51,12620947,230881,1
SM 18:1/16:0,SM,TQC_5,703.5,1,184.1,1,Ion [184.100549/184.100549],5.51,12269490,187075,1
SM 18:1/16:0,SM,TQC_6,703.5,1,184.1,1,Ion [184.100549/184.100549],5.51,12857536,150918,1
SM 18:1/16:0,SM,TQC_7,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,12865337,201794,1
SM 18:1/16:0,SM,TQC_8,703.5,1,184.1,1,Ion [184.100549/184.100549],5.52,14170709,180161,1
SM 18:1/16:0,SM,TQC_9,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,12881657,116170,1
SM 18:1/16:0,SM,TQC_10,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,13699582,135589,1
SM 18:1/16:0,SM,TQC_11,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,12732792,254732,1
SM 18:1/16:0,SM,TQC_12,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,14705027,148584,1
SM 18:1/16:0 ID264,SM,S1A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.55,3634,1430,1
SM 18:1/16:0 ID264,SM,S2A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,3299,1155,1
SM 18:1/16:0 ID264,SM,S3A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,3295,1177,1
SM 18:1/16:0 ID264,SM,S4A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.55,3471,790,1
SM 18:1/16:0 ID264,SM,S5A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.59,3377,1399,1
SM 18:1/16:0 ID264,SM,S6A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,3803,1297,1
SM 18:1/16:0 ID264,SM,S7A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,3170,1160,1
SM 18:1/16:0 ID264,SM,S8A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.6,3832,1259,1
SM 18:1/16:0 ID264,SM,S9A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.54,3542,1045,1
SM 18:1/16:0 ID264,SM,S10A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.56,3371,898,1
SM 18:1/16:0 ID264,SM,S11A,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,3284,1467,1
SM 18:1/16:0 ID264,SM,S1B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.57,2739,1209,1
SM 18:1/16:0 ID264,SM,S2B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,3470,1262,1
SM 18:1/16:0 ID264,SM,S3B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,3165,1121,1
SM 18:1/16:0 ID264,SM,S4B,703.5,1,264.4,1,Ion [264.400549/264.400549],5.53,2984,1265,1
