lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
TG 18:2/20:4/20:4,14.23948127,14.0050521,14.33215545,14.92300455,13.62461129,14.68067757,13.74584393,13.49770566,14.54811675,13.631421,15.47089247,14.15971104,15.26326642,14.782364,14.44645181,14.01119589,13.54140027,18.53183971,14.34098539,15.15607141
TG 16:0/20:5/22:6,11.64693193,12.24261201,12.75693396,12.81462419,11.47313647,13.87873929,10.19388232,11.72355729,12.02802653,11.72666857,13.81435181,12.90216757,13.18471839,11.81454806,13.27549304,11.95260115,11.09218731,15.48122978,12.71146935,13.87912181
TG 18:2/18:3/22:6,11.97723485,11.91141564,12.76642187,12.90738981,11.6974926,13.48521499,9.59322167,11.99468259,12.27824621,12.01592236,13.97839477,12.77050027,12.90941131,11.88774201,13.36019456,12.38229513,10.97090889,15.41860098,12.85721429,14.04555807
TG 18:2/20:4/20:5,11.65307169,12.24211824,12.69789137,12.73085894,11.45822541,13.81127534,10.28539365,11.89115201,12.01227337,11.38399751,13.80719546,12.93111381,13.2316163,11.78013841,13.13764294,11.48518037,10.93603773,15.22477389,12.66025679,13.85172348
TG 16:1/20:4/22:6,12.65386483,14.22659947,14.21262993,13.65861119,13.74872202,15.73355876,12.06700171,14.05379656,13.67665341,14.42765554,16.41650519,14.37996753,13.95216846,13.28071919,14.48939331,13.34923439,13.44099712,14.48952289,13.4254253,15.53897356
TG 18:0/18:1/22:1,13.47426725,14.24373721,16.11767377,15.83040998,15.27417507,15.09609532,15.6749281,15.38168981,14.70226359,13.96289095,15.02073048,13.68053589,15.01297659,16.05532983,14.67077209,14.70603717,12.99102193,19.46479759,14.86677001,15.49687834
TG 18:1/18:2/22:0,14.75915317,14.9003743,16.436838,15.63361908,15.86424773,15.73462392,15.63968327,15.76346664,15.22862434,15.137112,15.82784999,14.85313015,16.25796048,16.66035767,15.72795188,15.44279493,14.91312166,20.06902225,15.58590487,16.94505303
TG 18:1/20:1/20:1,14.7481039,14.9856334,16.43552255,15.68310329,16.09266185,15.72066639,15.69437482,15.93947813,15.22472421,15.11941635,15.8417688,14.91090878,16.26864201,16.62868315,15.68113233,15.46671729,14.60628585,20.26259366,15.5329189,16.99015699
TG 18:0/18:1/22:2,16.36396574,17.63871702,18.64725781,17.57776884,17.76255517,17.90498958,17.26525623,18.17654019,17.85079489,17.7674954,18.48334914,16.90159846,17.92921066,18.29286015,17.59928728,16.69227529,16.84857022,20.42327904,15.64959782,18.02717312
TG 18:0/20:0/20:3,16.44965734,17.59287455,18.63935976,17.55086582,17.857226,17.93771769,17.27215043,18.14125028,17.81449276,17.73109664,18.53016499,16.96954666,17.92814654,18.30766449,17.75155298,16.7119011,16.99686147,20.44378444,15.82513522,18.11971325
